JP3,Battery,M02PTH,1X02,Header 2,,,,,,,,,,,,,,,,,,,
JP1,Debugger,M04PTH,1X04,Header 4,,,,,,,,,,,,,,,,,,,
JP9,FTDI,FTDI_BASICPTH,FTDI_BASIC,FTDI Basic header with labels,,,,,,,,,,,,,,,,,,,
ARM,GREEN,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,,,,,,,,,,,
BOT,GREEN,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,,,,,,,,,,,
J1,ISP,AVR_SPI_PRG_6NS,2X3-NS,AVR ISP 6 Pin,,,,,,,,,,,,,,,,,,,
C16,JUMP,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
C17,JUMP,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,
U4,LSM9DS0,LSM9DS0,LGA-24,,,,,,,,,,,,,,,,,,,,
PWR,RED,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,,,,,,,,,,,
U2,TPS73633-DBVT,TPS73633-DBVT,SOT23-DBV,,,,,,,,,,,,,,,,,,,,
U3,ULN2003ADR,ULN2003ADR,SOIC127P600X175-16N,8-BIT SHIFT REGISTERS WITH 3-STATE OUTPUT REGISTERS,,ULN2003ADR,1470513,77C3560,SOIC-16,TEXAS INSTRUMENTS,,,,,,,,,,,,,
S1,,SWITCH-MOMENTARY-2SMD,TACTILE_SWITCH_SMD,"Various NO switches- pushbuttons, reed, etc",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
